DATE,DAY,WEEK_DAY,MONTH,YEAR,HOLIDAY,PRE_HOLIDAY,LAST_WEEK_TOTAL,TOTAL
9/1/2025,1,2,9,2025,0,0,24689.3248,2741
9/2/2025,2,3,9,2025,0,0,24676.1592,2891
9/3/2025,3,4,9,2025,0,0,24632.3893,2557
9/4/2025,4,5,9,2025,0,0,24694.46564,3163
9/5/2025,5,6,9,2025,0,0,24736.15743,3453
9/6/2025,6,7,9,2025,0,0,24895.38776,4903
9/7/2025,7,1,9,2025,0,0,25016.71429,4466
9/8/2025,8,2,9,2025,0,0,24174,3151
9/9/2025,9,3,9,2025,0,0,24584,2633
9/10/2025,10,4,9,2025,0,0,24326,3360
9/11/2025,11,5,9,2025,0,0,25129,3062
9/12/2025,12,6,9,2025,0,0,25028,4435
9/13/2025,13,7,9,2025,0,1,26010,4759
9/14/2025,14,1,9,2025,1,0,25866,5127
9/15/2025,15,2,9,2025,0,0,26527,4339
9/16/2025,16,3,9,2025,0,0,27715,3107
9/17/2025,17,4,9,2025,0,0,28189,2957
9/18/2025,18,5,9,2025,0,0,27786,3844
9/19/2025,19,6,9,2025,0,0,28568,3418
9/20/2025,20,7,9,2025,0,1,27551,5149
9/21/2025,21,1,9,2025,1,0,27941,4559
9/22/2025,22,2,9,2025,0,0,27373,2415
9/23/2025,23,3,9,2025,0,0,25449,3076
9/24/2025,24,4,9,2025,0,0,25418,3473
9/25/2025,25,5,9,2025,0,0,25934,3898
9/26/2025,26,6,9,2025,0,0,25988,4107
9/27/2025,27,7,9,2025,0,0,26677,5356
9/28/2025,28,1,9,2025,0,0,26884,4663
9/29/2025,29,2,9,2025,0,0,26988,3031
9/30/2025,30,3,9,2025,0,0,27604,2946
10/1/2025,1,4,10,2025,0,0,27474,2994
10/2/2025,2,5,10,2025,0,0,26995,3257
10/3/2025,3,6,10,2025,0,0,26354,3918
10/4/2025,4,7,10,2025,0,0,26165,4863
10/5/2025,5,1,10,2025,0,0,25672,4709
10/6/2025,6,2,10,2025,0,0,25718,2875
10/7/2025,7,3,10,2025,0,0,25562,2853
10/8/2025,8,4,10,2025,0,0,25469,3415
10/9/2025,9,5,10,2025,0,0,25890,3607
10/10/2025,10,6,10,2025,0,1,26240,2981
10/11/2025,11,7,10,2025,1,0,25303,5159
10/12/2025,12,1,10,2025,0,0,25599,4342
10/13/2025,13,2,10,2025,0,0,25232,2677
10/14/2025,14,3,10,2025,0,0,25034,3128
10/15/2025,15,4,10,2025,0,0,25309,3475
10/16/2025,16,5,10,2025,0,0,25369,3670
10/17/2025,17,6,10,2025,0,0,25432,3414
10/18/2025,18,7,10,2025,0,0,25865,5531
10/19/2025,19,1,10,2025,0,0,26237,4195
10/20/2025,20,2,10,2025,0,0,26090,2805
10/21/2025,21,3,10,2025,0,0,26218,3866
10/22/2025,22,4,10,2025,0,0,26956,3029
10/23/2025,23,5,10,2025,0,0,26510,2890
10/24/2025,24,6,10,2025,0,0,25730,3300
10/25/2025,25,7,10,2025,0,0,25616,4352
10/26/2025,26,1,10,2025,0,0,24437,4027
10/27/2025,27,2,10,2025,0,0,24269,2917
10/28/2025,28,3,10,2025,0,0,24381,2944
10/29/2025,29,4,10,2025,0,0,23459,2932
10/30/2025,30,5,10,2025,0,1,23362,3572
10/31/2025,31,6,10,2025,1,1,24044,5104
11/1/2025,1,7,11,2025,1,0,25848,5690
11/2/2025,2,1,11,2025,1,0,27186,3909
11/3/2025,3,2,11,2025,0,0,27068,4460
11/4/2025,4,3,11,2025,0,0,28611,3973
11/5/2025,5,4,11,2025,0,0,29640,3476
11/6/2025,6,5,11,2025,0,0,30184,3007
11/7/2025,7,6,11,2025,0,0,29619,4044
11/8/2025,8,7,11,2025,0,0,28559,8486
11/9/2025,9,1,11,2025,0,0,31355,4358
11/10/2025,10,2,11,2025,0,0,31804,3528
11/11/2025,11,3,11,2025,0,0,30872,3446
11/12/2025,12,4,11,2025,0,0,30345,2461
11/13/2025,13,5,11,2025,0,0,29330,3859
11/14/2025,14,6,11,2025,0,0,30182,5767
11/15/2025,15,7,11,2025,0,0,31905,4243
11/16/2025,16,1,11,2025,0,0,27662,5094
11/17/2025,17,2,11,2025,0,0,28398,2665
11/18/2025,18,3,11,2025,0,0,27535,3061
11/19/2025,19,4,11,2025,0,0,27150,3552
11/20/2025,20,5,11,2025,0,0,28241,2978
11/21/2025,21,6,11,2025,0,0,27360,4540
11/22/2025,22,7,11,2025,0,0,26133,4457
11/23/2025,23,1,11,2025,0,0,26347,3555
11/24/2025,24,2,11,2025,0,0,24808,3354
11/25/2025,25,3,11,2025,0,0,25497,2996
11/26/2025,26,4,11,2025,0,0,25432,3443
11/27/2025,27,5,11,2025,0,0,25323,3568
11/28/2025,28,6,11,2025,0,0,25913,3660
11/29/2025,29,7,11,2025,0,0,25033,4939
11/30/2025,30,1,11,2025,0,0,25515,3764
12/1/2025,1,2,12,2025,0,0,25724,3066
12/2/2025,2,3,12,2025,0,0,25436,2144
12/3/2025,3,4,12,2025,0,0,24584,4063
12/4/2025,4,5,12,2025,0,0,25204,2733
12/5/2025,5,6,12,2025,0,0,24369,3521
12/6/2025,6,7,12,2025,0,0,24230,5169
12/7/2025,7,1,12,2025,0,0,24460,3967
12/8/2025,8,2,12,2025,0,0,24663,3183
12/9/2025,9,3,12,2025,0,0,24780,3191
12/10/2025,10,4,12,2025,0,0,25827,3401
12/11/2025,11,5,12,2025,0,0,25165,3434
12/12/2025,12,6,12,2025,0,0,25866,3546
12/13/2025,13,7,12,2025,0,0,25891,4438
12/14/2025,14,1,12,2025,0,0,25160,3953
12/15/2025,15,2,12,2025,0,0,25146,2859
12/16/2025,16,3,12,2025,0,0,24822,2839
12/17/2025,17,4,12,2025,0,0,24470,3762
12/18/2025,18,5,12,2025,0,0,24831,2832
12/19/2025,19,6,12,2025,0,0,24229,4784
12/20/2025,20,7,12,2025,0,0,25467,4753
12/21/2025,21,1,12,2025,0,0,25782,7480
12/22/2025,22,2,12,2025,0,0,29309,3373
12/23/2025,23,3,12,2025,0,1,29823,3867
12/24/2025,24,4,12,2025,1,1,30851,8728
12/25/2025,25,5,12,2025,1,0,35817,6087
12/26/2025,26,6,12,2025,0,0,39072,3814
